,tweets,id,len,date,source,likes,retweets
30,Only 1 week left to submit applications to @QuesnayInc Female Founders in #InsurTech competition! We can’t wait to… https://t.co/hlhOPBICFA,1021925972445159425,139,2018-07-25 01:11:52,Sprinklr,6,1
31,@Jacobage Thanks for your feedback! We've passed this on to the appropriate team. ~SS,1016461860151885825,85,2018-07-09 23:19:27,Sprinklr,0,0
32,"@brettoz2000 You can begin your claim online here, and it will specify what is required https://t.co/gQwcKPl1cI",1016112952301314054,111,2018-07-09 00:13:00,Sprinklr,0,0
33,We are proud to sponsor @QuesnayInc Female Founders in #InsurTech competition. Women-led startups across the globe… https://t.co/ZQK1aDQRjJ,1008911613959790593,139,2018-06-19 03:17:28,Sprinklr,10,2
34,"@mintomusings Hi Karen, thank you for the feedback on the renewal process, we will pass this on. If you still need… https://t.co/lr3xxSmOF0",1001969879061291014,139,2018-05-30 23:33:29,Sprinklr,1,0
35,"@_rebeccajackson Hi Rebecca, sorry to hear about this. If you DM us your claim / policy details and some informatio… https://t.co/wFaVBgXdcc",986778659641053185,140,2018-04-19 01:29:00,Sprinklr,1,0
36,"@ShanB7309 we're sorry to hear about your experience. If you can DM your details to @QBENorthAmerica , we can take a look at it ~BLS",975960475904233472,132,2018-03-20 05:01:24,Sprinklr,0,0
37,The 2018 #Insurtech Program brings together best-in-breed startups &amp; scaleups and reveals real business problems fo… https://t.co/XxWq8IUxCl,972998977217056778,144,2018-03-12 00:53:28,Sprinklr,11,6
38,"@ellebelletone hi Ellie, we've responded to your message over on Facebook ~BLS",971628079138377728,78,2018-03-08 06:06:00,Sprinklr,0,0
39,"@EmilyCAngwin Hi Emily, we're sorry to hear about your experience. If you'd like some assistance in lodging your cl… https://t.co/PcrdOKilca",971511685604397058,140,2018-03-07 22:23:30,Sprinklr,2,0
40,"@MSK14Legend hi Mathew, sorry you weren't able to reach us on the weekend. Hopefully you have been able to get thro… https://t.co/izQAKHKJT6",970466172545196032,140,2018-03-05 01:09:00,Sprinklr,0,0
41,"@jac1010 thanks for your message, we have responded to your FB message to follow up ~BLS",962812742133583872,88,2018-02-11 22:17:00,Sprinklr,1,0
42,"@ScottConroy14 sorry to hear about your issues with payment. If you still need assistance, please DM us your details ~BLS",960273984494465026,121,2018-02-04 22:08:53,Sprinklr,0,0
43,"@LatinCruiseLady if you would like some assistance, QBE Puerto Rico offers this via their Facebook page https://t.co/TIJk6d1uRd ~BLS",955573905627996161,132,2018-01-22 22:52:27,Sprinklr,0,0
44,QBE Australia &amp; New Zealand's COO Steve Raynor discussing how QBE is changing through technology… https://t.co/ENKQTwZSz8,953819739884802048,125,2018-01-18 02:42:01,Sprinklr,11,6
45,"QBE Insurance Group Limited is pleased to announce the appointment of Vivek Bhatia as Chief Executive Officer, Aust… https://t.co/mvYSWs05rc",950886875631374336,140,2018-01-10 00:27:52,Sprinklr,21,6
46,"@CalebMcDonald Hi Caleb, yes, these are covered ~BLS",937508002667597825,52,2017-12-04 02:25:00,Sprinklr,2,0
47,"@Huboi Hi Hugh, we can try and find where this call came from. Can you DM us any further details you might have? ~BLS",936069635547463681,117,2017-11-30 03:09:27,Sprinklr,0,0
48,"Announced at the NCP Scholarship Awards event by Foreign Minister, The Hon. Julie Bishop, @QBEAus is sponsoring Mil… https://t.co/PHot8GxAZg",935690452078092289,140,2017-11-29 02:02:42,Sprinklr,2,1
49,"@andymichaels Hi Andrew, if there is something we can look into for you, please DM us the claim / policy details ~BLS",934940958696919041,117,2017-11-27 00:24:29,Sprinklr,0,0
50,"@markraymond58 Hi Mark, the embargo on coverage around Mt Agung has been in place since the 21st of September, and… https://t.co/jWrwLqbgY5",934940838416781313,139,2017-11-27 00:24:00,Sprinklr,1,0
51,"@rattlerspeak Hi Wayne, can we help? DM your query and details to us and we can have someone call you. ~SS",933481579565010954,106,2017-11-22 23:45:26,Sprinklr,1,0
52,"As a proud supporter of marriage equality, QBE is delighted to welcome the ‘yes’ outcome of the Australian Marriage… https://t.co/EyVsS9wMpj",930658980120203265,140,2017-11-15 04:49:26,Sprinklr,19,5
53,"@hypowife Hi, please DM us your claim number and we will look into this. ~SS",928756942503383040,76,2017-11-09 22:51:25,Sprinklr,0,0
54,"@Caracola_Caro Hello, are you able to please DM your policy number, location and phone number? ~SS",928396060321513473,98,2017-11-08 22:57:24,Sprinklr,0,0
55,@evoyent please DM us your claim number and we will look into this. ~SS,928037730084360192,71,2017-11-07 23:13:31,Sprinklr,0,0
56,"@tanyahfmnn sorry to hear that Tanya. If there is anything we can look into, please DM us.",927391089677529088,90,2017-11-06 04:24:00,Sprinklr,0,0
57,@radarballs we understand the claim has been successfully lodged. We’ve asked for someone to call you to update you. ~ BLS,926308959375495168,122,2017-11-03 04:44:00,Sprinklr,0,0
58,"@innejf we're sorry to hear about the delays your dad experienced. If he still needs assistance, please DM us contact &amp; policy details ~BLS",917959693829591040,143,2017-10-11 03:47:00,Sprinklr,1,0
59,@sherriwedel Looks like you may have to follow the account as we can't DM either. ~SS,912847227458072576,85,2017-09-27 01:11:53,Sprinklr,0,0
60,@sherriwedel Sorry to hear that! Please DM us your policy number and we will look into this. ~SS,912833280856215552,96,2017-09-27 00:16:28,Sprinklr,0,0
61,Watch the live webcast of our 2017 HY Results presentation now https://t.co/KAzlW8wASh $QBE https://t.co/bgFm04Btzz,897977531625820160,115,2017-08-17 00:25:01,Sprinklr,7,2
62,Our 2017 HY Results https://t.co/rRjExShXR1 $QBE https://t.co/IYRGa9UCJN,897971243051298817,72,2017-08-17 00:00:02,Sprinklr,2,0
63,"@JudeJayatilake Hi Jude, sorry to hear that. Can you please DM details about this issue and we can look into this. ~SS",890050543460245505,118,2017-07-26 03:26:00,Sprinklr,0,0
64,"@PeterDT82 Hi Peter, can you please DM us your policy number and contact details and we can look into this. ~SS",889259207190564868,111,2017-07-23 23:01:31,Sprinklr,0,0
65,#QBE’s Marcelo Teixeira talks to CNBC about business liability insurance in Asia. https://t.co/jdfejiJDXE,888253956454883328,105,2017-07-21 04:27:00,Sprinklr,5,3
66,See the Indonesian results of #QBE’s The Risks of Regret business liability and professional indemnity report… https://t.co/31ZeyVSzAM,887824379429703680,134,2017-07-20 00:00:01,Sprinklr,6,1
67,@chriswaynemagic DM us your claim and contact number and we can have someone get in touch. ~BLS,887475689724796929,95,2017-07-19 00:54:27,Sprinklr,0,0
68,Download #QBE's The Risks of Regret – Business Liability and Professional Indemnity Report 2017 for Malaysia… https://t.co/UFKgIZTAwA,884191309464051712,133,2017-07-09 23:23:30,Sprinklr,6,3
69,QBE Insurance Australia has announced a strategic partnership with the Risk Management Institution of Australasia… https://t.co/G1P0eIzZRQ,882468201010999296,138,2017-07-05 05:16:29,Sprinklr,7,1
70,"@MargaretLomasAU Hi Margaret, per our previous message, we can look into this for you if you can DM us your claim number ~BLS",881683400867885056,125,2017-07-03 01:17:58,Sprinklr,0,0
71,Download #QBE's The Risks of Regret – Business Liability and Professional Indemnity Report 2017 for Singapore… https://t.co/1FyQqOVf4v,875143321789878272,134,2017-06-15 00:10:01,Sprinklr,4,2
72,Download #QBE's The Risks of Regret – Business Liability and Professional Indemnity Report 2017 for Hong Kong… https://t.co/eHWLGooQCH,875140808252559360,134,2017-06-15 00:00:02,Sprinklr,5,3
73,RT @InsuranceTimes_: #BIBA2017 famous faces. Head of events sponsorship Marcus meets Lawrence Dallaglio at @QBE's stand. https://t.co/3eIJz…,862426462732795904,140,2017-05-10 21:57:46,Twitter for iPhone,0,3
74,"Investing in #fintech &amp; #insurtech to add value to our underwriting processes
https://t.co/PaxmsAEqMZ",862152325858705408,105,2017-05-10 03:48:27,Twitter Web Client,14,15
75,"Why employers should care about employees' mental health and wellbeing - blog by @QBEeo
https://t.co/UpotfPIBYs",861804039046037504,111,2017-05-09 04:44:29,Twitter Web Client,9,4
76,"RT @QBEeo: Download #QBE's Are you ready for the GDPR, to understand what the new data protection regs mean for your business
https://t.co/…",861564206725832704,140,2017-05-08 12:51:28,Twitter for iPhone,0,4
77,"The QBE Green Bond Framework #sustainability 🌱
https://t.co/ZIn0HxRDRq",861421424119918592,70,2017-05-08 03:24:06,Twitter Web Client,2,1
78,Insuring improvement: @QBEeo CEO Richard Pryce talks to CEO Magazine https://t.co/b516Whvlxx,859974799799443456,92,2017-05-04 03:35:44,Twitter Web Client,6,1
79,RT @QBErugby: The best chance of success on a @lionsofficial tour starts with getting things right off the field. #LionsNZ2017 https://t.co…,859654072923635712,140,2017-05-03 06:21:17,Twitter Web Client,0,4
80,Watch the 2017 Annual General Meeting Webcast https://t.co/wOUAYKDLLR $QBE,859566460657586176,74,2017-05-03 00:33:08,Twitter for iPhone,3,1
81,"RT @QBErugby: In order to take risk, the outcome must first be calculated. @lionsoffical coach, Warren Gatland, believes it's about balance…",858928748405563395,140,2017-05-01 06:19:06,Twitter Web Client,0,1
82,RT @QBEeo: Attending #BIBA2017? #QBE look forward to welcoming you to our stand D50. Come and meet Lawrence Dallaglio at our drinks recepti…,858845798523469824,140,2017-05-01 00:49:29,Twitter Web Client,0,2
83,The use of drones has allowed us to transform the way we handle claims in the most difficult situations https://t.co/5VVc7I4aUg #QBEResults,857809477268946945,139,2017-04-28 04:11:31,Twitter Web Client,5,4
84,"Insuring improvement: @QBEeo CEO Richard Pryce talks to CEO Magazine
https://t.co/b516Whvlxx",857442582581751808,92,2017-04-27 03:53:36,Twitter Web Client,6,1
85,"RT @Airmic: Pitfalls and peculiarities of multi-national programmes, @QBE discuss their workshop at #Airmic2017 https://t.co/MLfL2rv0s3 @br…",857089022253989889,140,2017-04-26 04:28:41,Twitter Web Client,0,4
86,"First of its kind physiotherapy app in the UK launched by @QBEeo 💪
https://t.co/RFnqHXUCZ6",857047917395271680,90,2017-04-26 01:45:21,Twitter Web Client,3,1
87,The QBE Green Bond Framework #sustainability 🌱 https://t.co/ZIn0HxRDRq,856373245066461184,70,2017-04-24 05:04:26,Twitter Web Client,2,1
88,"Announcing the proposed issue of senior notes, intended to be issued in accordance with our Green Bond Framework.
https://t.co/EWnluRL18Z",856365733210505216,137,2017-04-24 04:34:35,Twitter Web Client,2,0
89,RT @QBEeo: Insuring improvement: #QBE Europe CEO Richard Pryce talks to CEO Magazine https://t.co/xC8nA0bfj8,856284385498120192,108,2017-04-23 23:11:21,Twitter Web Client,0,1
90,QBE is pioneering a new way for our customers to actively make a real and lasting difference to communities https://t.co/y0gKAorYqR,852019860280287234,131,2017-04-12 04:45:39,Twitter Web Client,3,1
91,"RT @QBErugby: 1971. The first @lionsofficial NZ test triumph, a tour of meticulous preparation even 46 years ago. John Spencer reveals all…",851251796454526976,139,2017-04-10 01:53:38,Twitter Web Client,0,17
92,RT @glennmcgrath11: A huge thank you to @QBE for your support of the @McGrathFdn A fun day had by all yesterday 😊 https://t.co/gANAsY1Ez2,849986795785691140,137,2017-04-06 14:06:58,Twitter for iPhone,0,3
93,"RT @McGrathFdn: Thanks to our partners at @QBE who hosted a Pink Sports Day. QBE’s support funds Vicki Bell, McGrath Breast Care Nurse, Cam…",849889604626898945,140,2017-04-06 07:40:46,Twitter for iPhone,0,2
94,"RT @QBEeo: Claims due to Hand-Arm vibration in the workplace are not reducing, check out this #QBE guide to minimising the risk
https://t.c…",849468690995269633,140,2017-04-05 03:48:12,Twitter Web Client,0,1
95,"The brutal test protocol for this manufacturer's new planes 🔍✈️❄️💨🏜
https://t.co/OBkwOKu66M",849140706711003136,91,2017-04-04 06:04:55,Twitter Web Client,2,0
96,"First of its kind physiotherapy app in the UK launched by @QBEeo 💪
https://t.co/RFnqHXUCZ6",848736135685709825,90,2017-04-03 03:17:18,Twitter Web Client,3,1
97,RT @QBEeo: 2 months to the Lions Tour #QBE's Risk Expert Chris Gill blogs on managing the risks of a major event @qberugby https://t.co/RBe…,848727558694682625,140,2017-04-03 02:43:13,Twitter Web Client,0,3
98,RT @QBEeo: The 6 habits of highly successful people by #QBE's Jacqui Beasley  https://t.co/XQwP2xc2vA,846142068841889792,101,2017-03-26 23:29:24,Twitter Web Client,0,1
99,The use of drones has allowed us to transform the way we handle claims in the most difficult situations https://t.co/FRbSA1EjnE #QBEResults,844747495041187840,139,2017-03-23 03:07:52,Twitter Web Client,8,2
100,CEO’s message - We successfully instituted a customer-centric approach consistent with our vision. https://t.co/1LNcsPvID8 #QBEResults,844047463933648896,134,2017-03-21 04:46:11,Twitter Web Client,4,0
101,"Taking advantage of a subdued investment environment to improve our core craft - Chief Risk Officer Jason Brown
https://t.co/IFSyRfAS2L",843657350225453056,135,2017-03-20 02:56:01,Twitter Web Client,3,0
102,"Flight security - Never Instagram your boarding pass ✈️🔍
https://t.co/WjT38i5wy7",841135066747097088,80,2017-03-13 03:53:22,Twitter Web Client,1,1
103,What does the report card say about autonomous cars https://t.co/rhbr5BZNaU,841122685409140737,75,2017-03-13 03:04:10,Twitter Web Client,2,0
104,"RT @QBErugby: Things are heating up in the world of rugby! Hear all the latest news from your favourite teams, pundits &amp; more here:https://…",839964811710513153,144,2017-03-09 22:23:11,Twitter Web Client,0,2
105,"Secrets of my success: Nicky Ablett, Director of Property &amp; Political from @QBEeo #IWD2017
https://t.co/7f4dxvGqfC",839286906605035521,118,2017-03-08 01:29:26,Twitter Web Client,4,2
106,"I want someone who'll build the very best team, someone who'll use diversity as a competitive weapon - CEO @johnqbe 
https://t.co/4zUesgEXMG",839286339614863361,140,2017-03-08 01:27:11,Twitter Web Client,2,0
107,RT @NSWSwifts: Help us celebrate #InternationalWomensDAy today by recognising all of the deserving Women in our lives. #BeBoldForChange #Go…,839285632790757376,140,2017-03-08 01:24:22,Twitter Web Client,0,6
108,RT @sydneyswans: On #IWD2017 we say thank you to all the wonderful women who are part of the Sydney Swans family. #ProudlySydney #BeBoldFor…,839285564608172033,140,2017-03-08 01:24:06,Twitter Web Client,0,13
109,"The QBE Digital Innovation Lab was launched to create a future driven by emerging technologies of today #insurtech
https://t.co/kXIyVoqLti",838872690123407360,138,2017-03-06 22:03:29,Twitter Web Client,1,0
110,QBE to make $50m #insurtech spend https://t.co/Zd8binBHY9,838872267647954944,57,2017-03-06 22:01:48,Twitter Web Client,5,2
111,"RT @WIRED: They mapped over 4,000 miles of seafloor. https://t.co/FidADLpxF4",837514324428017664,76,2017-03-03 04:05:49,Twitter Web Client,0,189
112,Taking advantage of a subdued investment environment to improve our core craft - Chief Risk Officer Jason Brown https://t.co/IFSyRfAS2L,837457416316825600,135,2017-03-03 00:19:41,Twitter Web Client,2,0
113,"The QBE Digital Innovation Lab was launched to create a future driven by emerging technologies of today
https://t.co/kXIyVoqLti",836437037720883200,127,2017-02-28 04:45:04,Twitter Web Client,3,0
114,"$QBE Group is pleased to announce the appointment of David
McMillan as Group Chief Operations Officer 
https://t.co/uH2rnwMJVV",836061613371215872,126,2017-02-27 03:53:16,Twitter Web Client,4,0
115,"RT @QBEaus: We are proud to be a partner of the @AusHumanRights research report into #customerdiversity, launched this morning https://t.co…",836041652082921474,140,2017-02-27 02:33:57,Twitter Web Client,0,2
116,#QBEResults Watch our Annual Results Presentation on #Periscope https://t.co/nl1UqWfwqB,835997975176306688,87,2017-02-26 23:40:24,Twitter Web Client,4,1
117,"#QBE recorded a 2016 financial performance at the better end of our target range 
#QBEResults https://t.co/URQhbbraBT",835990674424025089,117,2017-02-26 23:11:23,Twitter Web Client,6,4
118,"RT @GillianTriggs: Businesses could be missing out by ignoring diverse customers: new research with Deloitte, QBE, Qantas, Westpac, SBS htt…",835972235567378432,140,2017-02-26 21:58:07,Twitter Web Client,0,19
119,"$QBE recorded a strong 2016 result with a significant uplift in profitability 
#QBEResults
https://t.co/kXIyVoqLti",835969993074323456,114,2017-02-26 21:49:12,Twitter Web Client,2,0
120,RT @MadisonBiz: Thanks to @QBENorthAmerica in Sun Prairie for incredible Big Night Out last night! Can't wait to see what innovation you ha…,834921979652157440,140,2017-02-24 00:24:46,Twitter Web Client,0,5
121,"In too many businesses employees still consider risk management to be a management responsibility. - @QBEeo blog
https://t.co/kYrdmlvmgr",834921635845025792,136,2017-02-24 00:23:24,Twitter Web Client,0,0
122,RT @QBErugby: The countdown is on for the team behind the team. Only 100 days to go until the first game of #LionsNZ2017 tour! https://t.co…,834891437170814976,140,2017-02-23 22:23:24,Twitter Web Client,0,13
123,The QBE Foundation supports charities that help people overcome disadvantage and live more independently https://t.co/22kL8UhcAq,834271632340312064,128,2017-02-22 05:20:31,Twitter Web Client,6,0
124,"A growing number of companies are looking at the viability of airborne, autonomous taxis #drones 
https://t.co/xhvpghRP3V",834262925850193920,121,2017-02-22 04:45:56,Twitter Web Client,2,0
125,RT @QBENorthAmerica: #QBENA launches New Cyber Risk policy https://t.co/dbwlaFlvkC,834248753829654530,82,2017-02-22 03:49:37,Twitter Web Client,0,3
126,Register for our 2016 Full Year Results Webcast on 27 Feb at 10:30AM AEDT $QBE https://t.co/Mwm5cktpX2,833894545808973824,102,2017-02-21 04:22:07,Twitter Web Client,1,1
127,"Flight security - Never Instagram your boarding pass ✈️🔍
https://t.co/WjT38i5wy7",833499501578948608,80,2017-02-20 02:12:21,Twitter Web Client,1,3
128,RT @lionsofficial: Episode 5 of The Team Behind The Team by @QBErugby looks at how the medical department play such a vital role while on T…,833442406376673280,140,2017-02-19 22:25:28,Twitter Web Client,0,20
129,Drones - Are they the future of healthcare? 💊🏥🕹 https://t.co/ia4P3jLj8z via @QBEeo,831999511979397120,82,2017-02-15 22:51:56,Twitter Web Client,1,0
130,"The evolution of the support system that backs up the @lionsofficial - episode 3 of #teambehindtheteam by QBE
https://t.co/nzKmSqKwgB",829116342930337793,133,2017-02-07 23:55:15,Twitter Web Client,2,1
131,"I want someone who'll build the very best team, someone who'll use diversity as a competitive weapon - CEO @johnqbe
https://t.co/4zUesgEXMG",828430453891690500,139,2017-02-06 02:29:46,Twitter Web Client,1,5
132,"Find out how #QBE Premiums4Good can help make a real, sustainable difference to communities https://t.co/vGilNDveGT",828419868344979456,115,2017-02-06 01:47:42,Twitter Web Client,0,1
133,"RT @NASA: Go Gaga during the #Superbowl #HalftimeShow for these out-of-this-world views of our home planet, Earth 🌏 #SB51 https://t.co/2qCI…",828412270795386880,140,2017-02-06 01:17:31,Twitter Web Client,0,4306
134,"RT @QBENorthAmerica: Congratulations to QBE’s Phillip Giles, VP, A&amp;H, who was recently named to @CaptiveReview “2017 Power 50” list. https:…",828394542172762112,144,2017-02-06 00:07:04,Twitter Web Client,0,3
135,"CIO of @QBEaus on why driverless vehicles 🚗 are the biggest single game changer going on right now 
https://t.co/WwAkRzWfO8",827002046553354240,123,2017-02-02 03:53:47,Twitter Web Client,5,3
136,"Listen to the popular 🏉 podcast #FullContact by Brian Moore, made in association with QBE https://t.co/OEddzTd27L https://t.co/PMij7Kitt6",826993757803327488,137,2017-02-02 03:20:51,Twitter Web Client,1,0
137,RT @QBEeo: Secrets of my success: Nicky Ablett from insurer QBE https://t.co/XlHri5E4Va,826940279340953600,87,2017-02-01 23:48:21,Twitter Web Client,0,3
138,Drones - Are they the future of healthcare? 💊🏥🕹 https://t.co/zNAMio2Esx via @QBEeo,821208717358047232,82,2017-01-17 04:13:10,Twitter Web Client,2,1
139,"Find out how #QBE Premiums4Good can help make a real, sustainable difference to communities https://t.co/vGilNDveGT",821156917502300160,115,2017-01-17 00:47:20,Twitter Web Client,0,0
140,"The evolution of the support system that backs up the @lionsofficial - episode 3 of #teambehindtheteam by QBE
https://t.co/nzKmSqKwgB",820839704757080064,133,2017-01-16 03:46:50,Twitter Web Client,1,0
141,"Flight security - Never Instagram your boarding pass ✈️🔍
https://t.co/WjT38i5wy7",819687533843869696,80,2017-01-12 23:28:31,Twitter Web Client,1,2
142,"Group Chief Risk Officer Jason Brown will be speaking at #RMInsurance Disruption, Innovation &amp; #Insurtech Summit. https://t.co/w4xE5VgI1u",819341429231128576,141,2017-01-12 00:33:14,Twitter Web Client,0,0
143,RT @QBEeo: #QBE are proud to be hosting a #Datasciencefest event on 17th January. For more info visit - https://t.co/z0LiyGavyh,818963413355237376,127,2017-01-10 23:31:08,Twitter Web Client,0,2
144,"Big corporations should collaborate with startups, working together to take cost out of value chain. - CEO @johnqbe
https://t.co/DlR5DtArKN",818663697631485952,139,2017-01-10 03:40:10,Twitter Web Client,0,3
145,"The future of transportation? 🛰🚄🚇 
https://t.co/VzBADfh5ng",818661222346145792,58,2017-01-10 03:30:20,Twitter Web Client,3,0
146,"CEO @JohnQBE on why it's critical to work with customers to jointly develop services to serve their emerging needs 
https://t.co/dwqtiA0DD9",818313942015447041,139,2017-01-09 04:30:21,Twitter Web Client,3,0
147,"RT @brainpickings: For Stephen Hawking's birthday, his theory of how the universe works, animated in 150 seconds https://t.co/k345tglwQo ht…",818218141931032576,140,2017-01-08 22:09:41,Twitter Web Client,0,51
148,Drones - Are they the future of healthcare? 💊🏥🕹 https://t.co/zNAMio2Esx via @QBEeo,816833618001563648,82,2017-01-05 02:28:05,Twitter Web Client,2,0
149,"5 million satellite images from over the past 3 decades by 5 different satellites - Google Earth Machine 🌏🌎🌍🛰⌛️ 
https://t.co/QjHYwuzQ5H",816424248658968577,136,2017-01-03 23:21:23,Twitter Web Client,4,4
150,"Big corporations should collaborate with startups, working together to take cost out of value chain. - CEO @johnqbe https://t.co/DlR5DtArKN",816119004863418368,139,2017-01-03 03:08:28,Twitter Web Client,4,5
151,RT @QBEeo: #QBE's David Hall blogs about why now is the time for UK businesses to export #ExportingisGREAT @ukef @tradegovuk https://t.co/m…,816117425431146496,140,2017-01-03 03:02:11,Twitter Web Client,0,1
152,"RT @lionsofficial: Some dates for your 2017 diary...

https://t.co/TiXxsY16UJ
#LionsNZ2017 https://t.co/tE9Dhr20mT",815513434800287744,114,2017-01-01 11:02:09,Twitter for iPhone,0,195
153,"1 in 8 Aussies would be more comfortable going away on holiday if they knew their neighbours better - @QBEaus 
https://t.co/T3WsAQUlKN",814261741269831680,134,2016-12-29 00:08:22,Twitter Web Client,2,0
154,From all of us at QBE https://t.co/BISFTNj8Du,812086604906971136,45,2016-12-23 00:05:09,Twitter Web Client,3,0
